[2026-08-07 07:25:11,398][mlp_training_pipeline][INFO] - Instantiating datamodule <data.anisotropy_datamodule.AnisotropyDataModule>
[2026-08-07 07:25:16,437][mlp_training_pipeline][INFO] - Instantiating model <models.mlp.network.MLP>
[2026-08-07 07:25:16,443][mlp_training_pipeline][INFO] - Model instantiated with 197824 parameters
[2026-08-07 07:25:16,443][mlp_training_pipeline][INFO] - Loss and tracking metric instantiated
[2026-08-07 07:25:16,444][mlp_training_pipeline][INFO] - Optimizer instantiated
[2026-08-07 07:25:16,444][mlp_training_pipeline][INFO] - Instantiating Tensorboard logger
[2026-08-07 07:25:16,447][mlp_training_pipeline][INFO] - Starting training!
[2026-08-07 07:49:21,483][root][INFO] - Epoch 72/200, Val Loss: 0.0007, Metric: 0.0184
[2026-08-07 07:49:41,360][root][INFO] - Epoch 73/200, Val Loss: 0.0008, Metric: 0.0200
[2026-08-07 07:50:01,635][root][INFO] - Epoch 74/200, Val Loss: 0.0008, Metric: 0.0208
[2026-08-07 07:50:20,606][root][INFO] - Epoch 75/200, Val Loss: 0.0007, Metric: 0.0195
[2026-08-07 07:50:39,529][root][INFO] - Epoch 76/200, Val Loss: 0.0008, Metric: 0.0197
[2026-08-07 07:50:58,362][root][INFO] - Epoch 77/200, Val Loss: 0.0007, Metric: 0.0191
[2026-08-07 07:51:18,419][root][INFO] - Epoch 78/200, Val Loss: 0.0007, Metric: 0.0198
[2026-08-07 07:51:38,491][root][INFO] - Epoch 79/200, Val Loss: 0.0007, Metric: 0.0187
[2026-08-07 07:51:57,639][root][INFO] - Epoch 80/200, Val Loss: 0.0007, Metric: 0.0191
[2026-08-07 07:52:17,607][root][INFO] - Epoch 81/200, Val Loss: 0.0007, Metric: 0.0188
[2026-08-07 07:52:37,725][root][INFO] - Epoch 82/200, Val Loss: 0.0006, Metric: 0.0184
[2026-08-07 07:52:57,717][root][INFO] - Epoch 83/200, Val Loss: 0.0007, Metric: 0.0198
[2026-08-07 07:53:18,118][root][INFO] - Epoch 84/200, Val Loss: 0.0006, Metric: 0.0187
[2026-08-07 07:53:38,024][root][INFO] - Epoch 85/200, Val Loss: 0.0007, Metric: 0.0195
[2026-08-07 07:53:58,256][root][INFO] - Epoch 86/200, Val Loss: 0.0007, Metric: 0.0194
[2026-08-07 07:54:17,894][root][INFO] - Epoch 87/200, Val Loss: 0.0006, Metric: 0.0185
[2026-08-07 07:54:38,279][root][INFO] - Epoch 88/200, Val Loss: 0.0007, Metric: 0.0176
[2026-08-07 07:54:57,285][root][INFO] - Epoch 89/200, Val Loss: 0.0006, Metric: 0.0177
[2026-08-07 07:55:16,333][root][INFO] - Epoch 90/200, Val Loss: 0.0006, Metric: 0.0182
[2026-08-07 07:55:35,519][root][INFO] - Epoch 91/200, Val Loss: 0.0006, Metric: 0.0186
[2026-08-07 07:55:55,159][root][INFO] - Epoch 92/200, Val Loss: 0.0006, Metric: 0.0183
[2026-08-07 07:56:15,035][root][INFO] - Epoch 93/200, Val Loss: 0.0007, Metric: 0.0191
[2026-08-07 07:56:35,259][root][INFO] - Epoch 94/200, Val Loss: 0.0006, Metric: 0.0177
[2026-08-07 07:56:55,531][root][INFO] - Epoch 95/200, Val Loss: 0.0007, Metric: 0.0192
[2026-08-07 07:57:15,898][root][INFO] - Epoch 96/200, Val Loss: 0.0006, Metric: 0.0175
[2026-08-07 07:57:36,210][root][INFO] - Epoch 97/200, Val Loss: 0.0006, Metric: 0.0179
[2026-08-07 07:57:56,858][root][INFO] - Epoch 98/200, Val Loss: 0.0006, Metric: 0.0177
[2026-08-07 07:58:16,260][root][INFO] - Epoch 99/200, Val Loss: 0.0006, Metric: 0.0173
[2026-08-07 07:58:36,233][root][INFO] - Epoch 100/200, Val Loss: 0.0005, Metric: 0.0166
[2026-08-07 07:58:56,643][root][INFO] - Epoch 101/200, Val Loss: 0.0005, Metric: 0.0171
[2026-08-07 07:59:15,498][root][INFO] - Epoch 102/200, Val Loss: 0.0006, Metric: 0.0173
[2026-08-07 07:59:34,735][root][INFO] - Epoch 103/200, Val Loss: 0.0006, Metric: 0.0189
[2026-08-07 07:59:53,924][root][INFO] - Epoch 104/200, Val Loss: 0.0006, Metric: 0.0174
[2026-08-07 08:00:13,799][root][INFO] - Epoch 105/200, Val Loss: 0.0005, Metric: 0.0164
[2026-08-07 08:00:34,141][root][INFO] - Epoch 106/200, Val Loss: 0.0006, Metric: 0.0179
[2026-08-07 08:00:53,543][root][INFO] - Epoch 107/200, Val Loss: 0.0005, Metric: 0.0164
[2026-08-07 08:01:13,772][root][INFO] - Epoch 108/200, Val Loss: 0.0006, Metric: 0.0178
[2026-08-07 08:01:34,530][root][INFO] - Epoch 109/200, Val Loss: 0.0005, Metric: 0.0161
[2026-08-07 08:01:54,096][root][INFO] - Epoch 110/200, Val Loss: 0.0005, Metric: 0.0165
[2026-08-07 08:02:14,277][root][INFO] - Epoch 111/200, Val Loss: 0.0005, Metric: 0.0167
[2026-08-07 08:02:33,458][root][INFO] - Epoch 112/200, Val Loss: 0.0005, Metric: 0.0164
[2026-08-07 08:02:53,610][root][INFO] - Epoch 113/200, Val Loss: 0.0005, Metric: 0.0164
[2026-08-07 08:03:12,752][root][INFO] - Epoch 114/200, Val Loss: 0.0005, Metric: 0.0165
[2026-08-07 08:03:31,524][root][INFO] - Epoch 115/200, Val Loss: 0.0006, Metric: 0.0180
[2026-08-07 08:03:51,158][root][INFO] - Epoch 116/200, Val Loss: 0.0005, Metric: 0.0161
[2026-08-07 08:04:10,339][root][INFO] - Epoch 117/200, Val Loss: 0.0005, Metric: 0.0172
[2026-08-07 08:04:30,025][root][INFO] - Epoch 118/200, Val Loss: 0.0006, Metric: 0.0184
[2026-08-07 08:04:49,811][root][INFO] - Epoch 119/200, Val Loss: 0.0005, Metric: 0.0161
[2026-08-07 08:05:09,940][root][INFO] - Epoch 120/200, Val Loss: 0.0005, Metric: 0.0155
[2026-08-07 08:05:30,342][root][INFO] - Epoch 121/200, Val Loss: 0.0005, Metric: 0.0171
[2026-08-07 08:05:50,519][root][INFO] - Epoch 122/200, Val Loss: 0.0005, Metric: 0.0156
[2026-08-07 08:06:10,577][root][INFO] - Epoch 123/200, Val Loss: 0.0005, Metric: 0.0172
[2026-08-07 08:06:29,666][root][INFO] - Epoch 124/200, Val Loss: 0.0005, Metric: 0.0164
[2026-08-07 08:06:48,714][root][INFO] - Epoch 125/200, Val Loss: 0.0006, Metric: 0.0174
[2026-08-07 08:07:07,825][root][INFO] - Epoch 126/200, Val Loss: 0.0005, Metric: 0.0169
[2026-08-07 08:07:28,070][root][INFO] - Epoch 127/200, Val Loss: 0.0005, Metric: 0.0173
[2026-08-07 08:07:47,976][root][INFO] - Epoch 128/200, Val Loss: 0.0005, Metric: 0.0158
[2026-08-07 08:08:07,077][root][INFO] - Epoch 129/200, Val Loss: 0.0004, Metric: 0.0151
[2026-08-07 08:08:26,896][root][INFO] - Epoch 130/200, Val Loss: 0.0005, Metric: 0.0159
[2026-08-07 08:08:46,788][root][INFO] - Epoch 131/200, Val Loss: 0.0005, Metric: 0.0167
[2026-08-07 08:09:07,237][root][INFO] - Epoch 132/200, Val Loss: 0.0005, Metric: 0.0161
[2026-08-07 08:09:27,549][root][INFO] - Epoch 133/200, Val Loss: 0.0005, Metric: 0.0159
[2026-08-07 08:09:46,976][root][INFO] - Epoch 134/200, Val Loss: 0.0005, Metric: 0.0164
[2026-08-07 08:10:07,490][root][INFO] - Epoch 135/200, Val Loss: 0.0004, Metric: 0.0147
[2026-08-07 08:10:26,446][root][INFO] - Epoch 136/200, Val Loss: 0.0005, Metric: 0.0165
[2026-08-07 08:10:46,227][root][INFO] - Epoch 137/200, Val Loss: 0.0005, Metric: 0.0164
[2026-08-07 08:11:06,622][root][INFO] - Epoch 138/200, Val Loss: 0.0004, Metric: 0.0158
[2026-08-07 08:11:27,216][root][INFO] - Epoch 139/200, Val Loss: 0.0004, Metric: 0.0158
[2026-08-07 08:11:46,523][root][INFO] - Epoch 140/200, Val Loss: 0.0005, Metric: 0.0160
